Customer,State,Coverage,Education,Gender,Income,Location_Code,Marital_Status,Sales_Channel,Vehicle_Class,Vehicle_Size,flag
RJ85627,Washington,Basic,Bachelor,F,43817,Urban,Married,Branch,Four-Door Car,Medsize,2
CC31456,Arizona,Extended,Bachelor,M,37548,Rural,Married,Web,Four-Door Car,Medsize,3
UY18770,California,Premium,Bachelor,F,14290,Suburban,Married,Agent,Luxury SUV,Medsize,2
QW47320,California,Premium,Bachelor,F,14290,Suburban,Married,Agent,Luxury SUV,Medsize,2
LA14484,Nevada,Basic,High School or Below,M,27972,Suburban,Married,Web,Four-Door Car,Medsize,3
OM99303,Arizona,Basic,High School or Below,F,76310,Suburban,Married,Branch,Two-Door Car,Medsize,2
MW62634,California,Basic,High School or Below,M,27972,Suburban,Married,Web,Four-Door Car,Medsize,1
XM91635,Arizona,Basic,High School or Below,F,16618,Urban,Single,Branch,Four-Door Car,Medsize,3
XM72420,Arizona,Extended,High School or Below,F,66676,Suburban,Married,Agent,Four-Door Car,Small,2
QL77686,Nevada,Basic,College,F,23986,Urban,Married,Call Center,SUV,Small,1
DT77901,Oregon,Premium,Bachelor,F,14290,Suburban,Married,Agent,Luxury SUV,Medsize,2
MY80583,Oregon,Basic,Bachelor,F,84365,Suburban,Married,Branch,Four-Door Car,Small,2
HP50399,Nevada,Basic,Bachelor,M,0,Suburban,Divorced,Branch,SUV,Medsize,2
SS48498,Washington,Extended,College,F,20836,Rural,Married,Branch,Four-Door Car,Medsize,1
XD21246,Oregon,Extended,High School or Below,F,0,Suburban,Single,Agent,SUV,Medsize,2
KK30016,Nevada,Basic,Master,M,27722,Suburban,Divorced,Call Center,Four-Door Car,Medsize,2
NP88496,Nevada,Basic,High School or Below,F,0,Suburban,Married,Agent,Four-Door Car,Large,2
UU93074,California,Premium,College,M,32435,Suburban,Married,Agent,Luxury Car,Medsize,2
VW86720,Oregon,Basic,Bachelor,F,0,Suburban,Single,Call Center,Four-Door Car,Small,2
OH15677,California,Basic,High School or Below,M,0,Suburban,Single,Agent,Sports Car,Medsize,2
AT93647,California,Basic,College,F,60252,Urban,Married,Agent,Four-Door Car,Medsize,2
KH93988,Oregon,Extended,College,F,71134,Rural,Married,Web,Two-Door Car,Medsize,2
EL61402,Arizona,Extended,Bachelor,F,74257,Urban,Married,Agent,Four-Door Car,Large,2
TF82172,Arizona,Basic,College,M,10074,Rural,Married,Web,SUV,Medsize,1
MS39869,Nevada,Basic,College,F,0,Suburban,Single,Call Center,Four-Door Car,Medsize,2
AH99727,Arizona,Basic,Bachelor,F,11612,Suburban,Married,Branch,Four-Door Car,Medsize,2
AL21967,Oregon,Extended,Master,M,74243,Rural,Married,Call Center,Four-Door Car,Medsize,1
MS18916,California,Extended,College,M,20978,Suburban,Married,Branch,Four-Door Car,Small,2
WZ61178,California,Basic,Bachelor,F,11896,Suburban,Married,Branch,Two-Door Car,Small,2
YC67208,California,Basic,High School or Below,M,27972,Suburban,Married,Web,Four-Door Car,Medsize,2
LQ76410,Arizona,Extended,College,M,62873,Urban,Divorced,Call Center,Four-Door Car,Medsize,3
FN44127,Oregon,Extended,College,M,20978,Suburban,Married,Branch,Four-Door Car,Small,2
AH92481,California,Basic,College,F,53219,Suburban,Married,Call Center,SUV,Medsize,1
CL70684,California,Premium,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Small,1
TR18337,Nevada,Basic,College,F,50854,Rural,Divorced,Branch,Four-Door Car,Small,2
MB83471,Oregon,Premium,High School or Below,M,0,Suburban,Divorced,Agent,Four-Door Car,Small,2
PP50567,California,Basic,Bachelor,M,0,Suburban,Married,Agent,Four-Door Car,Medsize,1
IM98086,California,Extended,College,M,62873,Urban,Divorced,Call Center,Four-Door Car,Medsize,2
KB53430,Oregon,Basic,High School or Below,M,27972,Suburban,Married,Web,Four-Door Car,Medsize,2
NY12562,Nevada,Basic,College,F,0,Suburban,Single,Branch,Four-Door Car,Medsize,1
ND62955,Nevada,Basic,Bachelor,M,50250,Suburban,Married,Agent,SUV,Medsize,2
RO89785,Oregon,Extended,College,M,20978,Suburban,Married,Branch,Four-Door Car,Small,2
NW23827,California,Basic,College,F,0,Rural,Married,Agent,Four-Door Car,Medsize,2
HV69023,California,Basic,High School or Below,F,19189,Suburban,Married,Web,SUV,Large,2
WH36609,Arizona,Extended,Bachelor,F,24477,Suburban,Married,Call Center,Four-Door Car,Small,2
KW12214,Oregon,Basic,High School or Below,M,78441,Suburban,Married,Branch,SUV,Medsize,2
WE64781,Oregon,Extended,Bachelor,F,93836,Urban,Married,Web,Sports Car,Medsize,1
TT18939,California,Basic,Bachelor,M,29414,Rural,Divorced,Branch,Four-Door Car,Medsize,2
JL71713,California,Extended,Bachelor,F,89113,Urban,Married,Branch,Four-Door Car,Medsize,2
XN90861,Arizona,Basic,Bachelor,F,71560,Urban,Married,Web,Two-Door Car,Medsize,2
RR93140,California,Basic,College,F,81565,Urban,Married,Branch,Four-Door Car,Medsize,2
VM53683,Nevada,Basic,Bachelor,F,78804,Suburban,Married,Agent,Four-Door Car,Medsize,2
VO61192,Oregon,Extended,High School or Below,M,42433,Suburban,Married,Call Center,Four-Door Car,Medsize,2
OT24208,California,Basic,Bachelor,M,14382,Suburban,Married,Agent,Four-Door Car,Medsize,2
LR61007,Arizona,Extended,High School or Below,M,79253,Urban,Married,Agent,Two-Door Car,Medsize,1
DP50640,California,Basic,Bachelor,M,47346,Suburban,Married,Call Center,Four-Door Car,Small,2
AF41118,California,Extended,College,M,10710,Suburban,Married,Branch,Two-Door Car,Small,2
SG51259,California,Extended,High School or Below,F,0,Suburban,Single,Agent,SUV,Medsize,2
AG62140,California,Basic,College,F,33716,Suburban,Married,Agent,Four-Door Car,Small,2
SY22123,California,Extended,College,F,29539,Suburban,Single,Agent,Four-Door Car,Medsize,2
CW35098,Washington,Extended,College,M,0,Suburban,Single,Branch,Two-Door Car,Medsize,2
FY90924,Arizona,Basic,High School or Below,F,73601,Urban,Married,Agent,Four-Door Car,Medsize,2
YS84064,Arizona,Premium,Bachelor,M,0,Suburban,Single,Agent,SUV,Medsize,1
QD46343,Arizona,Extended,High School or Below,F,66676,Suburban,Married,Agent,Four-Door Car,Small,2
KR54589,California,Basic,High School or Below,F,86812,Rural,Married,Agent,Four-Door Car,Small,2
AM34581,Oregon,Extended,Bachelor,F,24432,Rural,Married,Branch,Two-Door Car,Medsize,1
ZR84007,Arizona,Basic,Bachelor,M,58779,Suburban,Single,Branch,Four-Door Car,Medsize,2
ZZ22193,California,Basic,Master,F,37675,Suburban,Single,Agent,Four-Door Car,Medsize,2
CT96082,Oregon,Basic,Bachelor,F,13933,Rural,Married,Call Center,Two-Door Car,Medsize,1
SJ88799,Washington,Premium,High School or Below,M,92539,Suburban,Single,Agent,Four-Door Car,Medsize,2
HG23705,Arizona,Basic,Bachelor,F,79681,Rural,Single,Agent,Four-Door Car,Medsize,2
LL14393,Oregon,Basic,High School or Below,M,23867,Suburban,Married,Call Center,Four-Door Car,Medsize,2
QV48556,Arizona,Basic,Master,F,29981,Suburban,Divorced,Agent,Two-Door Car,Medsize,1
LN43251,Oregon,Extended,High School or Below,M,0,Suburban,Single,Web,SUV,Medsize,2
VB57504,California,Basic,High School or Below,M,30027,Suburban,Married,Branch,Four-Door Car,Medsize,2
VG85511,Arizona,Basic,College,M,28280,Suburban,Married,Web,Sports Car,Medsize,2
JM96431,Oregon,Extended,College,M,54420,Suburban,Single,Call Center,Four-Door Car,Medsize,2
KL39986,Arizona,Basic,High School or Below,F,0,Suburban,Single,Branch,Two-Door Car,Medsize,2
MN79082,Oregon,Extended,College,M,46750,Suburban,Married,Branch,Two-Door Car,Small,1
DQ69331,Washington,Basic,High School or Below,M,27972,Suburban,Married,Web,Four-Door Car,Medsize,2
WE93328,Nevada,Extended,High School or Below,F,66676,Suburban,Married,Agent,Four-Door Car,Small,1
SL19130,Oregon,Premium,High School or Below,M,0,Suburban,Single,Branch,Two-Door Car,Medsize,2
UH41125,Arizona,Basic,High School or Below,M,27972,Suburban,Married,Web,Four-Door Car,Medsize,2
SD63822,Oregon,Basic,Bachelor,F,0,Suburban,Single,Branch,Four-Door Car,Small,1
YE24562,California,Extended,College,M,20978,Suburban,Married,Branch,Four-Door Car,Small,2
TS78649,Arizona,Premium,High School or Below,M,0,Suburban,Single,Branch,Sports Car,Medsize,2
VA89404,California,Basic,Master,M,53262,Urban,Married,Branch,Four-Door Car,Medsize,1
EX97404,Oregon,Basic,High School or Below,F,0,Suburban,Single,Branch,Four-Door Car,Medsize,2
MA94219,Nevada,Premium,College,M,78250,Suburban,Married,Branch,Four-Door Car,Medsize,2
TH72420,Oregon,Basic,Doctor,M,25752,Suburban,Married,Agent,Two-Door Car,Small,2
WG39961,Oregon,Extended,High School or Below,F,66676,Suburban,Married,Agent,Four-Door Car,Small,2
CQ15251,Oregon,Basic,Bachelor,F,65629,Rural,Married,Call Center,Four-Door Car,Large,2
UH76249,Arizona,Extended,High School or Below,M,0,Suburban,Married,Agent,Four-Door Car,Medsize,1
YA37626,Oregon,Extended,Master,M,25358,Suburban,Single,Branch,SUV,Medsize,2
PK20739,Oregon,Premium,Bachelor,M,25074,Suburban,Married,Branch,Two-Door Car,Medsize,2
EP61197,Oregon,Premium,Master,F,77915,Suburban,Married,Call Center,Four-Door Car,Small,2
DB26077,Arizona,Extended,High School or Below,F,18866,Suburban,Married,Call Center,SUV,Medsize,2
MP95255,California,Extended,High School or Below,F,66676,Suburban,Married,Agent,Four-Door Car,Small,2
TB54645,Oregon,Extended,Bachelor,F,27369,Urban,Married,Call Center,Four-Door Car,Medsize,2
SD96596,Washington,Extended,High School or Below,F,34087,Urban,Single,Branch,Luxury SUV,Medsize,2
IS79761,Oregon,Extended,High School or Below,M,38651,Suburban,Single,Branch,Two-Door Car,Medsize,2
HZ28612,Washington,Basic,College,F,59782,Suburban,Married,Branch,Four-Door Car,Small,2
HG81172,Arizona,Extended,College,F,54665,Rural,Married,Agent,Four-Door Car,Medsize,2
UR40795,Oregon,Basic,High School or Below,M,27849,Suburban,Married,Web,Sports Car,Small,2
SN94425,Oregon,Basic,High School or Below,F,0,Suburban,Divorced,Agent,Four-Door Car,Medsize,3
XB35510,California,Basic,Bachelor,M,38072,Rural,Married,Branch,SUV,Medsize,2
RE80124,Arizona,Extended,College,F,0,Suburban,Single,Agent,Two-Door Car,Small,2
PK47936,Washington,Premium,High School or Below,F,25806,Suburban,Married,Call Center,Four-Door Car,Medsize,2
PV77228,Arizona,Extended,College,M,62873,Urban,Divorced,Call Center,Four-Door Car,Medsize,1
YP17198,Oregon,Basic,Master,M,99241,Rural,Single,Branch,Four-Door Car,Large,1
OY88200,Nevada,Basic,College,F,22664,Suburban,Divorced,Agent,Two-Door Car,Small,2
JL21509,California,Extended,College,M,20978,Suburban,Married,Branch,Four-Door Car,Small,2
BG73480,Oregon,Extended,High School or Below,F,64706,Rural,Single,Agent,SUV,Medsize,1
IQ15028,Arizona,Basic,Bachelor,F,24152,Suburban,Married,Branch,Four-Door Car,Large,2
TT19625,Nevada,Basic,Bachelor,F,38183,Suburban,Married,Branch,Luxury Car,Medsize,2
CI51999,Arizona,Basic,College,M,12266,Suburban,Married,Branch,SUV,Medsize,2
SF29524,Oregon,Basic,Doctor,M,19186,Suburban,Divorced,Branch,Four-Door Car,Small,2
WO25669,Oregon,Basic,High School or Below,F,0,Suburban,Married,Branch,SUV,Medsize,2
UJ38473,California,Basic,Bachelor,M,81197,Rural,Married,Branch,Sports Car,Small,2
YU32377,Oregon,Basic,College,F,0,Suburban,Single,Call Center,Two-Door Car,Medsize,1
XE36531,California,Extended,High School or Below,F,51246,Suburban,Married,Web,SUV,Medsize,2
LD63324,Arizona,Extended,College,M,62873,Urban,Divorced,Call Center,Four-Door Car,Medsize,1
GA86186,Oregon,Extended,College,M,62873,Urban,Divorced,Call Center,Four-Door Car,Medsize,3
LH87004,Washington,Basic,College,M,41418,Suburban,Divorced,Branch,SUV,Small,2
HC31007,California,Basic,High School or Below,M,0,Suburban,Married,Agent,Four-Door Car,Medsize,2
IX60941,Oregon,Extended,College,M,20978,Suburban,Married,Branch,Four-Door Car,Small,2
YD80815,Arizona,Basic,Bachelor,F,51791,Rural,Married,Call Center,Luxury Car,Medsize,2
BQ94892,Oregon,Extended,College,M,62873,Urban,Divorced,Call Center,Four-Door Car,Medsize,2
LA33814,Oregon,Premium,High School or Below,M,66245,Rural,Married,Agent,SUV,Medsize,2
WY80801,California,Premium,High School or Below,F,25561,Suburban,Married,Agent,SUV,Medsize,1
RY27018,Washington,Extended,High School or Below,M,53214,Suburban,Married,Call Center,Four-Door Car,Large,2
SN27401,Washington,Premium,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,2
LY83340,Oregon,Basic,High School or Below,F,48943,Rural,Married,Web,Two-Door Car,Medsize,1
RY26286,California,Basic,College,M,80846,Urban,Single,Agent,Four-Door Car,Medsize,1
GQ11852,Oregon,Premium,College,F,39017,Urban,Married,Call Center,SUV,Medsize,2
QF75939,Washington,Extended,High School or Below,F,36710,Suburban,Single,Agent,Four-Door Car,Small,2
CY18875,Oregon,Extended,High School or Below,F,0,Suburban,Single,Web,Four-Door Car,Small,2
SM52948,Nevada,Basic,Bachelor,F,57107,Suburban,Married,Branch,SUV,Small,2
MA15172,California,Premium,Bachelor,F,14290,Suburban,Married,Agent,Luxury SUV,Medsize,2
TK67721,Oregon,Basic,High School or Below,F,0,Suburban,Single,Call Center,Four-Door Car,Medsize,1
NV35796,Oregon,Extended,Master,F,71366,Urban,Divorced,Call Center,Four-Door Car,Small,2
TR18791,Arizona,Basic,Bachelor,M,0,Suburban,Single,Branch,Two-Door Car,Small,2
XT34986,Oregon,Extended,Bachelor,M,89030,Rural,Married,Agent,SUV,Medsize,2
YP53257,Oregon,Premium,Bachelor,F,14290,Suburban,Married,Agent,Luxury SUV,Medsize,2
DO70918,Nevada,Extended,High School or Below,F,0,Suburban,Single,Agent,Sports Car,Small,3
IK74329,Arizona,Basic,High School or Below,F,13164,Rural,Single,Agent,Two-Door Car,Medsize,2
DU66880,Arizona,Premium,High School or Below,M,58544,Suburban,Married,Agent,Four-Door Car,Medsize,2
HH69970,California,Extended,Bachelor,F,32311,Urban,Married,Agent,Four-Door Car,Large,1
ZR79373,Arizona,Premium,Bachelor,F,14290,Suburban,Married,Agent,Luxury SUV,Medsize,2
VB23257,Oregon,Basic,Bachelor,M,47590,Rural,Single,Branch,SUV,Medsize,3
GU56606,Nevada,Extended,Bachelor,M,20283,Suburban,Divorced,Branch,Two-Door Car,Medsize,2
GB92679,Nevada,Premium,High School or Below,F,95139,Rural,Married,Agent,Four-Door Car,Medsize,2
QX22025,California,Basic,High School or Below,F,37025,Urban,Married,Branch,SUV,Medsize,1
BN77676,California,Basic,High School or Below,M,0,Suburban,Single,Agent,Four-Door Car,Medsize,2
VM77872,California,Premium,High School or Below,M,0,Suburban,Single,Branch,Four-Door Car,Large,1
AK59340,California,Basic,High School or Below,M,42360,Rural,Single,Branch,Four-Door Car,Medsize,1
FP27229,California,Extended,College,F,54603,Suburban,Single,Agent,Four-Door Car,Medsize,1
QV14053,California,Basic,High School or Below,M,53807,Rural,Divorced,Web,Two-Door Car,Medsize,2
BM92346,California,Extended,High School or Below,F,66676,Suburban,Married,Agent,Four-Door Car,Small,2
HM55802,California,Basic,Bachelor,F,17870,Suburban,Married,Branch,Four-Door Car,Medsize,1
SY17488,Arizona,Extended,College,F,46623,Suburban,Divorced,Call Center,Four-Door Car,Small,1
OO88645,California,Extended,College,F,74665,Urban,Married,Call Center,Four-Door Car,Medsize,1
XK33449,California,Basic,High School or Below,F,0,Suburban,Single,Branch,Two-Door Car,Small,3
FY32213,California,Basic,High School or Below,F,74454,Suburban,Single,Call Center,Four-Door Car,Medsize,2
BK59444,California,Basic,Master,F,72196,Rural,Single,Branch,Four-Door Car,Medsize,2
HI74419,Washington,Basic,College,M,50825,Urban,Married,Agent,SUV,Medsize,2
FF58467,Arizona,Basic,Master,F,93018,Rural,Divorced,Call Center,Four-Door Car,Medsize,2
TL77607,California,Basic,Bachelor,M,67969,Urban,Married,Branch,Four-Door Car,Medsize,2
MM71959,Arizona,Basic,Bachelor,M,83210,Suburban,Divorced,Branch,Sports Car,Large,2
RX13282,Oregon,Basic,Bachelor,M,14973,Suburban,Divorced,Branch,SUV,Medsize,2
XI41106,Arizona,Basic,College,M,55390,Urban,Married,Branch,Two-Door Car,Medsize,1
ON77827,Arizona,Basic,Master,F,22974,Urban,Married,Call Center,Four-Door Car,Large,2
VA30351,Oregon,Basic,High School or Below,F,74454,Suburban,Single,Call Center,Four-Door Car,Medsize,2
VO38365,Washington,Basic,College,F,90125,Rural,Married,Branch,SUV,Medsize,1
NR32615,California,Basic,College,M,22520,Suburban,Married,Branch,Four-Door Car,Medsize,1
PU98976,California,Extended,Bachelor,F,0,Suburban,Single,Call Center,Four-Door Car,Medsize,2
CS15289,Oregon,Basic,Master,F,79041,Rural,Married,Branch,Luxury SUV,Small,2
UY45293,Oregon,Extended,Bachelor,M,21975,Suburban,Divorced,Agent,Four-Door Car,Large,1
GT54462,Arizona,Premium,Bachelor,M,73222,Urban,Married,Call Center,SUV,Large,2
OR48881,Oregon,Extended,Doctor,F,21368,Rural,Married,Call Center,Four-Door Car,Medsize,1
PM13394,Washington,Basic,College,F,22404,Urban,Married,Agent,Four-Door Car,Medsize,2
HM20544,Washington,Basic,College,F,0,Suburban,Single,Web,Four-Door Car,Medsize,2
MX50302,Oregon,Basic,Bachelor,M,78618,Urban,Divorced,Agent,Two-Door Car,Medsize,3
BM66931,Arizona,Basic,High School or Below,F,92801,Urban,Married,Web,SUV,Medsize,2
UX71137,Washington,Premium,Doctor,F,69205,Urban,Married,Web,Four-Door Car,Medsize,2
TP15362,Oregon,Extended,College,M,28013,Suburban,Divorced,Branch,Four-Door Car,Medsize,2
LH92841,Washington,Extended,Bachelor,F,88891,Rural,Married,Branch,Four-Door Car,Medsize,2
OO35641,Oregon,Basic,College,F,78487,Urban,Divorced,Agent,SUV,Medsize,2
FB84235,Oregon,Basic,College,M,22520,Suburban,Married,Branch,Four-Door Car,Medsize,2
QZ17137,Arizona,Extended,High School or Below,F,45944,Rural,Married,Call Center,Two-Door Car,Medsize,2
FV42881,Oregon,Basic,College,F,96137,Rural,Married,Call Center,Two-Door Car,Medsize,1
ER40041,Oregon,Basic,College,F,78965,Rural,Married,Call Center,Luxury Car,Medsize,2
XJ85947,Oregon,Extended,College,F,88782,Urban,Divorced,Web,Four-Door Car,Large,2
WH11924,Washington,Basic,College,M,0,Suburban,Single,Web,Two-Door Car,Large,2
KK64803,California,Extended,High School or Below,M,82320,Suburban,Married,Branch,Four-Door Car,Medsize,2
XG19917,Washington,Extended,Bachelor,F,0,Suburban,Single,Branch,Four-Door Car,Medsize,2
ST52914,Arizona,Extended,College,M,25899,Suburban,Divorced,Branch,Two-Door Car,Medsize,2
RK59543,California,Basic,High School or Below,F,74454,Suburban,Single,Call Center,Four-Door Car,Medsize,2
BY54111,Oregon,Basic,High School or Below,M,21159,Suburban,Married,Branch,Four-Door Car,Medsize,2
KD21661,California,Premium,College,M,0,Suburban,Single,Agent,SUV,Large,2
ZL18631,Arizona,Basic,College,F,54889,Suburban,Married,Call Center,Four-Door Car,Medsize,2
YZ36062,Oregon,Basic,Bachelor,M,13476,Suburban,Single,Branch,Four-Door Car,Medsize,1
NF90665,Oregon,Basic,Bachelor,M,39268,Urban,Married,Agent,Four-Door Car,Medsize,2
MN53151,Oregon,Basic,College,M,13624,Suburban,Divorced,Agent,Sports Car,Medsize,2
RD61361,Arizona,Extended,Bachelor,F,0,Suburban,Single,Branch,Four-Door Car,Large,2
LI11560,California,Basic,Bachelor,F,57883,Suburban,Married,Agent,Four-Door Car,Small,2
YZ79232,Oregon,Basic,Master,M,0,Urban,Single,Web,Four-Door Car,Medsize,2
DP33625,Arizona,Basic,College,M,50825,Urban,Married,Agent,SUV,Medsize,2
XK84089,California,Basic,Bachelor,M,78618,Urban,Divorced,Agent,Two-Door Car,Medsize,2
WQ85760,California,Basic,College,M,26991,Suburban,Divorced,Branch,SUV,Medsize,1
DL55489,Oregon,Basic,High School or Below,M,21195,Suburban,Married,Web,Four-Door Car,Medsize,1
GA79817,Arizona,Basic,Bachelor,M,0,Suburban,Single,Call Center,Four-Door Car,Medsize,1
UM14883,California,Basic,High School or Below,M,64396,Urban,Married,Agent,SUV,Medsize,3
UO40192,Nevada,Basic,High School or Below,M,79619,Urban,Married,Web,Four-Door Car,Large,2
KV17007,California,Basic,College,M,82255,Rural,Married,Branch,Four-Door Car,Medsize,2
VM21699,Oregon,Basic,Bachelor,F,77609,Rural,Married,Branch,Sports Car,Medsize,1
SW74846,Washington,Basic,Bachelor,F,62473,Suburban,Married,Web,Luxury SUV,Medsize,2
DW62043,Oregon,Basic,College,F,30216,Suburban,Divorced,Call Center,Four-Door Car,Medsize,1
ZS94723,Arizona,Extended,High School or Below,F,0,Suburban,Single,Agent,Four-Door Car,Medsize,2
WO89464,Oregon,Basic,Bachelor,M,78618,Urban,Divorced,Agent,Two-Door Car,Medsize,2
WJ55369,Arizona,Extended,High School or Below,M,30250,Urban,Married,Call Center,Four-Door Car,Medsize,2
VP55618,California,Extended,College,M,32330,Suburban,Divorced,Branch,Four-Door Car,Medsize,1
XQ80738,Oregon,Basic,High School or Below,F,72014,Urban,Married,Agent,Four-Door Car,Medsize,2
BC47264,California,Extended,College,F,62192,Rural,Single,Agent,Two-Door Car,Medsize,3
BA92673,Oregon,Basic,High School or Below,F,0,Rural,Married,Web,Four-Door Car,Large,2
ZJ65064,California,Basic,College,F,0,Suburban,Single,Call Center,Four-Door Car,Medsize,2
UB18338,Oregon,Basic,Bachelor,M,14973,Suburban,Divorced,Branch,SUV,Medsize,2
DM16101,Washington,Basic,College,F,30886,Rural,Divorced,Agent,Four-Door Car,Medsize,3
IN57582,California,Extended,College,F,25125,Suburban,Single,Agent,Four-Door Car,Medsize,1
AZ31562,Arizona,Basic,College,M,22520,Suburban,Married,Branch,Four-Door Car,Medsize,2
ZB23962,Oregon,Basic,High School or Below,M,0,Suburban,Single,Call Center,SUV,Medsize,2
SL70555,California,Basic,Bachelor,M,69114,Rural,Divorced,Agent,SUV,Medsize,2
DQ35195,Arizona,Premium,Bachelor,F,52494,Suburban,Single,Agent,Two-Door Car,Small,1
SS69401,Oregon,Basic,College,F,23449,Suburban,Married,Web,Four-Door Car,Medsize,1
VF32335,Arizona,Basic,College,M,0,Suburban,Single,Web,Luxury SUV,Small,2
NQ51389,Oregon,Basic,High School or Below,M,0,Suburban,Single,Agent,Two-Door Car,Medsize,1
XL58577,California,Basic,Bachelor,M,14973,Suburban,Divorced,Branch,SUV,Medsize,2
WN13366,Arizona,Basic,High School or Below,F,74454,Suburban,Single,Call Center,Four-Door Car,Medsize,2
VK69632,California,Basic,Bachelor,F,68899,Rural,Single,Branch,Two-Door Car,Medsize,2
DK41858,Arizona,Basic,College,F,80480,Urban,Married,Agent,Four-Door Car,Medsize,2
VS86041,Arizona,Basic,Bachelor,F,26744,Suburban,Married,Agent,Two-Door Car,Large,1
TZ60132,Oregon,Extended,High School or Below,F,12201,Suburban,Divorced,Branch,Four-Door Car,Medsize,1
WL67313,California,Extended,College,F,0,Suburban,Single,Branch,Two-Door Car,Small,2
MD15300,California,Extended,College,M,76276,Rural,Single,Web,Two-Door Car,Large,1
AM99192,Arizona,Basic,College,M,42743,Rural,Married,Call Center,SUV,Medsize,2
LE30774,California,Basic,College,M,80355,Suburban,Married,Web,Luxury Car,Medsize,1
ZU30804,California,Basic,College,M,22520,Suburban,Married,Branch,Four-Door Car,Medsize,2
YL81070,Oregon,Extended,High School or Below,M,0,Suburban,Single,Call Center,Luxury Car,Medsize,2
BS96517,Washington,Basic,College,F,47455,Urban,Single,Agent,Four-Door Car,Medsize,2
YP37291,Nevada,Basic,High School or Below,M,36409,Suburban,Married,Branch,Four-Door Car,Small,2
SK93727,Washington,Premium,High School or Below,F,36121,Suburban,Married,Call Center,Four-Door Car,Small,2
FI93397,Oregon,Extended,Bachelor,F,0,Suburban,Single,Branch,Four-Door Car,Medsize,2
WC52068,Oregon,Basic,College,M,50825,Urban,Married,Agent,SUV,Medsize,1
MD70013,Nevada,Extended,Bachelor,F,84981,Rural,Married,Agent,Four-Door Car,Small,2
LZ12396,Arizona,Basic,Bachelor,F,33068,Urban,Married,Branch,Four-Door Car,Medsize,2
PA95799,Arizona,Basic,College,M,19581,Suburban,Married,Call Center,Four-Door Car,Medsize,2
TV20901,California,Premium,College,F,76381,Suburban,Married,Branch,Two-Door Car,Small,3
TF68928,Arizona,Extended,Bachelor,M,10517,Urban,Single,Agent,Four-Door Car,Medsize,2
TS34391,Oregon,Basic,College,M,50825,Urban,Married,Agent,SUV,Medsize,2
AQ25590,Washington,Extended,High School or Below,F,20282,Suburban,Divorced,Agent,Two-Door Car,Medsize,2
CK36026,Arizona,Extended,Bachelor,F,23870,Suburban,Married,Web,Two-Door Car,Medsize,2
CR85257,Oregon,Basic,High School or Below,M,99761,Suburban,Single,Branch,Two-Door Car,Medsize,1
OZ62735,Arizona,Extended,Bachelor,M,69161,Urban,Married,Agent,Sports Car,Medsize,2
SF25048,California,Basic,College,M,50825,Urban,Married,Agent,SUV,Medsize,2
NU93648,Arizona,Basic,Bachelor,M,0,Urban,Married,Call Center,Two-Door Car,Medsize,1
BV57364,Arizona,Basic,College,M,50825,Urban,Married,Agent,SUV,Medsize,2
IM15816,Oregon,Basic,High School or Below,F,79440,Urban,Divorced,Web,SUV,Medsize,2
EO87464,Oregon,Extended,High School or Below,M,31383,Suburban,Married,Agent,Four-Door Car,Medsize,1
VE47660,Oregon,Basic,High School or Below,F,30004,Suburban,Married,Web,SUV,Medsize,2
CW98743,California,Basic,College,F,22538,Suburban,Married,Agent,Four-Door Car,Medsize,2
WM14507,Nevada,Extended,High School or Below,F,62582,Suburban,Married,Branch,Four-Door Car,Small,2
HX53470,California,Extended,College,F,0,Suburban,Single,Branch,SUV,Medsize,1
AS48176,Oregon,Basic,Bachelor,M,14973,Suburban,Divorced,Branch,SUV,Medsize,2
YH94097,Washington,Extended,College,M,0,Suburban,Married,Agent,SUV,Medsize,2
EU95973,California,Basic,Bachelor,F,22978,Suburban,Married,Branch,Luxury Car,Medsize,2
NA82031,Washington,Basic,College,F,71809,Rural,Divorced,Agent,Four-Door Car,Medsize,1
JZ61928,California,Basic,College,M,22520,Suburban,Married,Branch,Four-Door Car,Medsize,1
OG69038,Washington,Basic,High School or Below,F,0,Suburban,Single,Agent,Four-Door Car,Large,1
TO12347,California,Basic,Bachelor,M,16101,Suburban,Divorced,Call Center,Four-Door Car,Small,2
DP50922,California,Basic,High School or Below,M,72109,Suburban,Married,Web,Sports Car,Medsize,2
SR47878,California,Basic,High School or Below,F,74454,Suburban,Single,Call Center,Four-Door Car,Medsize,2
LO28839,California,Basic,Bachelor,F,29193,Suburban,Married,Branch,Four-Door Car,Medsize,1
DA73502,Oregon,Basic,Bachelor,M,78618,Urban,Divorced,Agent,Two-Door Car,Medsize,2
IW87075,Arizona,Basic,Bachelor,M,32627,Rural,Single,Call Center,Four-Door Car,Medsize,2
PZ67684,Arizona,Basic,College,F,88753,Suburban,Single,Agent,Luxury SUV,Small,2
VW58299,California,Basic,Bachelor,M,14973,Suburban,Divorced,Branch,SUV,Medsize,2
TN71469,Oregon,Basic,College,F,90893,Suburban,Single,Web,SUV,Medsize,2
MZ79386,California,Extended,Bachelor,F,88893,Rural,Married,Call Center,Four-Door Car,Small,2
AA56476,Arizona,Basic,High School or Below,F,74454,Suburban,Single,Call Center,Four-Door Car,Medsize,1
